kingdom,type,language,license,rightsHolder,datasetID,institutionCode,datasetName,basisOfRecord,occurrenceID,associatedReferences,recordedBy,individualCount,occurrenceStatus,EventRemarks,verbatimEventDate,countryCode,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,georeferenceRemarks,scientificName,taxonRank,nomenclaturalCode
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Belgrade : Natural History Museum,https://doi.org/10.15468/7cpnhn,Belgrade : Natural History Museum,"Small mammals of Yugoslavia, 1992",materialSample,NEDKO:SMoY:OBS:1,"Petrov, Boris M., et al. Mammals of Yugoslavia: insectivores and rodents. Belgrade: Natural history museum, 1992.",Belgrade : Natural History Museum,1,present,no eventDate of the occurrence was digitized, < 1992,YU,42.0470377292,20.93958189,WGS84,7071,points are centroid of 10km UTM grid,Talpa romana,species,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Belgrade : Natural History Museum,https://doi.org/10.15468/7cpnhn,Belgrade : Natural History Museum,"Small mammals of Yugoslavia, 1992",materialSample,NEDKO:SMoY:OBS:2,"Petrov, Boris M., et al. Mammals of Yugoslavia: insectivores and rodents. Belgrade: Natural history museum, 1992.",Belgrade : Natural History Museum,1,present,no eventDate of the occurrence was digitized, < 1992,YU,41.5963147988,20.7000206752,WGS84,7071,points are centroid of 10km UTM grid,Talpa romana,species,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Belgrade : Natural History Museum,https://doi.org/10.15468/7cpnhn,Belgrade : Natural History Museum,"Small mammals of Yugoslavia, 1992",materialSample,NEDKO:SMoY:OBS:3,"Petrov, Boris M., et al. Mammals of Yugoslavia: insectivores and rodents. Belgrade: Natural history museum, 1992.",Belgrade : Natural History Museum,1,present,no eventDate of the occurrence was digitized, < 1992,YU,41.776455575,21.3008172704,WGS84,7071,points are centroid of 10km UTM grid,Talpa romana,species,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Belgrade : Natural History Museum,https://doi.org/10.15468/7cpnhn,Belgrade : Natural History Museum,"Small mammals of Yugoslavia, 1992",materialSample,NEDKO:SMoY:OBS:4,"Petrov, Boris M., et al. Mammals of Yugoslavia: insectivores and rodents. Belgrade: Natural history museum, 1992.",Belgrade : Natural History Museum,1,present,no eventDate of the occurrence was digitized, < 1992,YU,41.6860090256,21.420553609,WGS84,7071,points are centroid of 10km UTM grid,Talpa romana,species,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Belgrade : Natural History Museum,https://doi.org/10.15468/7cpnhn,Belgrade : Natural History Museum,"Small mammals of Yugoslavia, 1992",materialSample,NEDKO:SMoY:OBS:5,"Petrov, Boris M., et al. Mammals of Yugoslavia: insectivores and rodents. Belgrade: Natural history museum, 1992.",Belgrade : Natural History Museum,1,present,no eventDate of the occurrence was digitized, < 1992,YU,41.4146750616,21.6581112084,WGS84,7071,points are centroid of 10km UTM grid,Talpa romana,species,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Belgrade : Natural History Museum,https://doi.org/10.15468/7cpnhn,Belgrade : Natural History Museum,"Small mammals of Yugoslavia, 1992",materialSample,NEDKO:SMoY:OBS:6,"Petrov, Boris M., et al. Mammals of Yugoslavia: insectivores and rodents. Belgrade: Natural history museum, 1992.",Belgrade : Natural History Museum,1,present,no eventDate of the occurrence was digitized, < 1992,YU,41.3246044014,21.6572041167,WGS84,7071,points are centroid of 10km UTM grid,Talpa romana,species,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Belgrade : Natural History Museum,https://doi.org/10.15468/7cpnhn,Belgrade : Natural History Museum,"Small mammals of Yugoslavia, 1992",materialSample,NEDKO:SMoY:OBS:7,"Petrov, Boris M., et al. Mammals of Yugoslavia: insectivores and rodents. Belgrade: Natural history museum, 1992.",Belgrade : Natural History Museum,1,present,no eventDate of the occurrence was digitized, < 1992,YU,41.3252246339,21.537718065,WGS84,7071,points are centroid of 10km UTM grid,Talpa romana,species,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Belgrade : Natural History Museum,https://doi.org/10.15468/7cpnhn,Belgrade : Natural History Museum,"Small mammals of Yugoslavia, 1992",materialSample,NEDKO:SMoY:OBS:8,"Petrov, Boris M., et al. Mammals of Yugoslavia: insectivores and rodents. Belgrade: Natural history museum, 1992.",Belgrade : Natural History Museum,1,present,no eventDate of the occurrence was digitized, < 1992,YU,41.2356452314,21.4176539849,WGS84,7071,points are centroid of 10km UTM grid,Talpa romana,species,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Belgrade : Natural History Museum,https://doi.org/10.15468/7cpnhn,Belgrade : Natural History Museum,"Small mammals of Yugoslavia, 1992",materialSample,NEDKO:SMoY:OBS:9,"Petrov, Boris M., et al. Mammals of Yugoslavia: insectivores and rodents. Belgrade: Natural history museum, 1992.",Belgrade : Natural History Museum,1,present,no eventDate of the occurrence was digitized, < 1992,YU,41.1455682091,21.4170819223,WGS84,7071,points are centroid of 10km UTM grid,Talpa romana,species,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Belgrade : Natural History Museum,https://doi.org/10.15468/7cpnhn,Belgrade : Natural History Museum,"Small mammals of Yugoslavia, 1992",materialSample,NEDKO:SMoY:OBS:10,"Petrov, Boris M., et al. Mammals of Yugoslavia: insectivores and rodents. Belgrade: Natural history museum, 1992.",Belgrade : Natural History Museum,1,present,no eventDate of the occurrence was digitized, < 1992,YU,41.1461845784,20.8212487554,WGS84,7071,points are centroid of 10km UTM grid,Talpa romana,species,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Belgrade : Natural History Museum,https://doi.org/10.15468/7cpnhn,Belgrade : Natural History Museum,"Small mammals of Yugoslavia, 1992",materialSample,NEDKO:SMoY:OBS:11,"Petrov, Boris M., et al. Mammals of Yugoslavia: insectivores and rodents. Belgrade: Natural history museum, 1992.",Belgrade : Natural History Museum,1,present,no eventDate of the occurrence was digitized, < 1992,YU,41.1459380285,20.7020824918,WGS84,7071,points are centroid of 10km UTM grid,Talpa romana,species,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Belgrade : Natural History Museum,https://doi.org/10.15468/7cpnhn,Belgrade : Natural History Museum,"Small mammals of Yugoslavia, 1992",materialSample,NEDKO:SMoY:OBS:12,"Petrov, Boris M., et al. Mammals of Yugoslavia: insectivores and rodents. Belgrade: Natural history museum, 1992.",Belgrade : Natural History Museum,1,present,no eventDate of the occurrence was digitized, < 1992,YU,41.236016218,20.7016738661,WGS84,7071,points are centroid of 10km UTM grid,Talpa romana,species,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Belgrade : Natural History Museum,https://doi.org/10.15468/7cpnhn,Belgrade : Natural History Museum,"Small mammals of Yugoslavia, 1992",materialSample,NEDKO:SMoY:OBS:13,"Petrov, Boris M., et al. Mammals of Yugoslavia: insectivores and rodents. Belgrade: Natural history museum, 1992.",Belgrade : Natural History Museum,1,present,no eventDate of the occurrence was digitized, < 1992,YU,40.9660224,20.8217357905,WGS84,7071,points are centroid of 10km UTM grid,Talpa romana,species,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Belgrade : Natural History Museum,https://doi.org/10.15468/7cpnhn,Belgrade : Natural History Museum,"Small mammals of Yugoslavia, 1992",materialSample,NEDKO:SMoY:OBS:14,"Petrov, Boris M., et al. Mammals of Yugoslavia: insectivores and rodents. Belgrade: Natural history museum, 1992.",Belgrade : Natural History Museum,1,present,no eventDate of the occurrence was digitized, < 1992,YU,41.0562270842,21.0595025146,WGS84,7071,points are centroid of 10km UTM grid,Talpa romana,species,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Belgrade : Natural History Museum,https://doi.org/10.15468/7cpnhn,Belgrade : Natural History Museum,"Small mammals of Yugoslavia, 1992",materialSample,NEDKO:SMoY:OBS:15,"Petrov, Boris M., et al. Mammals of Yugoslavia: insectivores and rodents. Belgrade: Natural history museum, 1992.",Belgrade : Natural History Museum,1,present,no eventDate of the occurrence was digitized, < 1992,YU,41.0561041962,21.1785071752,WGS84,7071,points are centroid of 10km UTM grid,Talpa romana,species,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Belgrade : Natural History Museum,https://doi.org/10.15468/7cpnhn,Belgrade : Natural History Museum,"Small mammals of Yugoslavia, 1992",materialSample,NEDKO:SMoY:OBS:16,"Petrov, Boris M., et al. Mammals of Yugoslavia: insectivores and rodents. Belgrade: Natural history museum, 1992.",Belgrade : Natural History Museum,1,present,no eventDate of the occurrence was digitized, < 1992,YU,40.9660224,21.178264209599998,WGS84,7071,points are centroid of 10km UTM grid,Talpa romana,species,ICZN
