kingdom,scientificName,type,language,license,rightsHolder,datasetID,institutionCode,datasetName,basisOfRecord,occurrenceID,recordedBy,individualCount,occurrenceStatus,eventDate,samplingProtocol,countryCode,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,taxonRank,nomenclaturalCode
Animalia,Microcarbo pygmaeus,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,PPNEA,placeholder,PPNEA,Casual Bird observations during fieldwork,HumanObservation,PPNEA:BIRDS:OBS:1,PPNEA,2,present,2022/02/18,casual observation,AL,41.066826,20.639593,WGS84,30,species,ICZN
Animalia,Microcarbo pygmaeus,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,PPNEA,placeholder,PPNEA,Casual Bird observations during fieldwork,HumanObservation,PPNEA:BIRDS:OBS:2,PPNEA,1,present,2022/02/18,casual observation,AL,41.066826,20.639593,WGS84,30,species,ICZN
Animalia,Fulica atra,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,PPNEA,placeholder,PPNEA,Casual Bird observations during fieldwork,HumanObservation,PPNEA:BIRDS:OBS:3,PPNEA,5,present,2022/02/18,casual observation,AL,41.066826,20.639593,WGS84,30,species,ICZN
Animalia,Microcarbo pygmaeus,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,PPNEA,placeholder,PPNEA,Casual Bird observations during fieldwork,HumanObservation,PPNEA:BIRDS:OBS:4,PPNEA,14,present,2022/02/18,casual observation,AL,41.066826,20.639593,WGS84,30,species,ICZN
Animalia,Microcarbo pygmaeus,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,PPNEA,placeholder,PPNEA,Casual Bird observations during fieldwork,HumanObservation,PPNEA:BIRDS:OBS:5,PPNEA,3,present,2022/02/18,casual observation,AL,41.066826,20.639593,WGS84,30,species,ICZN
Animalia,Aythya ferina,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,PPNEA,placeholder,PPNEA,Casual Bird observations during fieldwork,HumanObservation,PPNEA:BIRDS:OBS:6,PPNEA,5,present,2022/02/18,casual observation,AL,41.066826,20.639593,WGS84,30,species,ICZN
Animalia,Chroicocephalus ridibundus,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,PPNEA,placeholder,PPNEA,Casual Bird observations during fieldwork,HumanObservation,PPNEA:BIRDS:OBS:7,PPNEA,2,present,2022/02/18,casual observation,AL,41.066826,20.639593,WGS84,30,species,ICZN
Animalia,Podiceps cristatus,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,PPNEA,placeholder,PPNEA,Casual Bird observations during fieldwork,HumanObservation,PPNEA:BIRDS:OBS:8,PPNEA,2,present,2022/02/18,casual observation,AL,41.066826,20.639593,WGS84,30,species,ICZN
Animalia,Fulica atra,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,PPNEA,placeholder,PPNEA,Casual Bird observations during fieldwork,HumanObservation,PPNEA:BIRDS:OBS:9,PPNEA,215,present,2022/02/18,casual observation,AL,41.066826,20.639593,WGS84,30,species,ICZN
Animalia,Podiceps cristatus,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,PPNEA,placeholder,PPNEA,Casual Bird observations during fieldwork,HumanObservation,PPNEA:BIRDS:OBS:10,PPNEA,2,present,2022/02/18,casual observation,AL,41.066826,20.639593,WGS84,30,species,ICZN
