date,time,scientific name,species type,species group,number,lat,lng
2/18/2022,12:31:00,Microcarbo pygmaeus,Species,Birds,2,41.066826,20.639593
2/18/2022,12:31:00,Microcarbo pygmaeus,Species,Birds,1,41.066826,20.639593
2/18/2022,12:30:00,Fulica atra,Species,Birds,5,41.066826,20.639593
2/18/2022,12:30:00,Microcarbo pygmaeus,Species,Birds,14,41.066826,20.639593
2/18/2022,12:29:00,Microcarbo pygmaeus,Species,Birds,3,41.066826,20.639593
2/18/2022,12:29:00,Aythya ferina,Species,Birds,5,41.066826,20.639593
2/18/2022,12:28:00,Chroicocephalus ridibundus,Species,Birds,2,41.066826,20.639593
2/18/2022,12:28:00,Podiceps cristatus,Species,Birds,2,41.066826,20.639593
2/18/2022,12:28:00,Fulica atra,Species,Birds,215,41.066826,20.639593
2/18/2022,12:26:00,Podiceps cristatus,Species,Birds,2,41.066826,20.639593
2/18/2022,12:25:00,Fulica atra,Species,Birds,65,41.066826,20.639593
2/18/2022,12:25:00,Chroicocephalus ridibundus,Species,Birds,10,41.066826,20.639593
2/18/2022,12:24:00,Aythya ferina,Species,Birds,10,41.066826,20.639593
2/18/2022,11:28:00,Podiceps cristatus,Species,Birds,50,41.050495,20.64366
2/18/2022,11:28:00,Netta rufina,Species,Birds,4,41.050495,20.64366
2/18/2022,11:27:00,Fulica atra,Species,Birds,45,41.050495,20.64366
2/18/2022,11:27:00,Fulica atra,Species,Birds,100,41.050495,20.64366
2/18/2022,11:27:00,Tachybaptus ruficollis,Species,Birds,2,41.050495,20.64366
2/18/2022,11:26:00,Fulica atra,Species,Birds,53,41.050495,20.64366
2/18/2022,11:26:00,Netta rufina,Species,Birds,3,41.050495,20.64366
2/18/2022,11:26:00,Fulica atra,Species,Birds,147,41.050495,20.64366
2/18/2022,11:19:00,Podiceps cristatus,Species,Birds,100,41.052177,20.646006
2/18/2022,11:19:00,Larus michahellis,Species,Birds,3,41.052177,20.646006
2/18/2022,11:19:00,Chroicocephalus ridibundus,Species,Birds,13,41.052177,20.646006
2/18/2022,11:18:00,Microcarbo pygmaeus,Species,Birds,4,41.052177,20.646006
2/18/2022,11:18:00,Phalacrocorax carbo,Species,Birds,11,41.052177,20.646006
2/18/2022,11:18:00,Fulica atra,Species,Birds,165,41.052177,20.646006
2/18/2022,10:49:00,Fulica atra,Species,Birds,164,41.038136,20.634672
2/18/2022,10:47:00,Microcarbo pygmaeus,Species,Birds,2,41.038136,20.634672
2/18/2022,10:47:00,Chroicocephalus ridibundus,Species,Birds,2,41.038136,20.634672
2/18/2022,10:28:00,Chroicocephalus ridibundus,Species,Birds,1,40.961201,20.645014
2/18/2022,10:28:00,Microcarbo pygmaeus,Species,Birds,13,40.961201,20.645014
2/18/2022,10:27:00,Fulica atra,Species,Birds,50,40.961201,20.645014
2/18/2022,10:23:00,Chroicocephalus ridibundus,Species,Birds,1,40.961201,20.645014
2/18/2022,10:22:00,Podiceps cristatus,Species,Birds,3,40.961201,20.645014
2/18/2022,10:05:00,Microcarbo pygmaeus,Species,Birds,3,40.929855,20.641237
2/18/2022,10:04:00,Fulica atra,Species,Birds,89,40.929855,20.641237
2/18/2022,9:56:00,Chroicocephalus ridibundus,Species,Birds,1,40.903332,20.658194
2/18/2022,9:55:00,Chroicocephalus ridibundus,Species,Birds,25,40.903332,20.658194
2/18/2022,9:55:00,Chroicocephalus ridibundus,Species,Birds,2,40.903332,20.658194
2/18/2022,9:55:00,Microcarbo pygmaeus,Species,Birds,36,40.903332,20.658194
2/18/2022,9:51:00,Microcarbo pygmaeus,Species,Birds,3,40.903332,20.658194
2/18/2022,9:34:00,Fulica atra,Species,Birds,700,40.901234,20.674761
2/18/2022,9:32:00,Microcarbo pygmaeus,Species,Birds,2,40.901234,20.674761
2/18/2022,9:29:00,Microcarbo pygmaeus,Species,Birds,2,40.901234,20.674761
2/18/2022,9:27:00,Podiceps cristatus,Species,Birds,3,40.901234,20.674761
2/18/2022,9:18:00,Cygnus olor,Species,Birds,7,40.900406,20.684158
2/18/2022,9:18:00,Podiceps cristatus,Species,Birds,259,40.900406,20.684158
2/18/2022,9:03:00,Aythya fuligula,Species,Birds,8,40.906151,20.727194
2/18/2022,9:03:00,Microcarbo pygmaeus,Species,Birds,1,40.906151,20.727194
2/18/2022,9:03:00,Netta rufina,Species,Birds,8,40.906151,20.727194
2/18/2022,9:03:00,Aythya ferina,Species,Birds,40,40.906151,20.727194
2/18/2022,9:03:00,Aythya fuligula,Species,Birds,126,40.906151,20.727194
2/18/2022,9:03:00,Fulica atra,Species,Birds,5,40.906151,20.727194
2/18/2022,9:02:00,Podiceps cristatus,Species,Birds,2,40.906151,20.727194
2/18/2022,8:55:00,Microcarbo pygmaeus,Species,Birds,20,40.906151,20.727194
2/18/2022,8:39:00,Fulica atra,Species,Birds,60,40.909321,20.731096
2/18/2022,8:38:00,Fulica atra,Species,Birds,50,40.909321,20.731096
2/18/2022,8:37:00,Fulica atra,Species,Birds,100,40.909321,20.731096
2/18/2022,8:36:00,Fulica atra,Species,Birds,100,40.909321,20.731096
2/18/2022,8:36:00,Fulica atra,Species,Birds,30,40.909321,20.731096
2/18/2022,8:35:00,Fulica atra,Species,Birds,100,40.909321,20.731096
2/18/2022,8:34:00,Fulica atra,Species,Birds,200,40.909321,20.731096
2/18/2022,8:26:00,Aythya fuligula,Species,Birds,47,40.909321,20.731096
2/18/2022,8:26:00,Aythya ferina,Species,Birds,48,40.909321,20.731096
2/18/2022,8:26:00,Netta rufina,Species,Birds,26,40.909321,20.731096
2/18/2022,8:25:00,Podiceps cristatus,Species,Birds,17,40.909321,20.731096
2/18/2022,8:25:00,Anas platyrhynchos,Species,Birds,8,40.909321,20.731096
2/18/2022,8:25:00,Anas crecca,Species,Birds,3,40.909321,20.731096
2/18/2022,8:25:00,Tachybaptus ruficollis,Species,Birds,3,40.909321,20.731096
2/18/2022,8:12:00,Podiceps cristatus,Species,Birds,2,40.909321,20.731096
2/18/2022,8:12:00,Anas platyrhynchos,Species,Birds,8,40.909321,20.731096
2/18/2022,8:12:00,Netta rufina,Species,Birds,17,40.909321,20.731096
2/18/2022,8:12:00,Ardea cinerea,Species,Birds,1,40.909321,20.731096
2/18/2022,8:12:00,Aythya fuligula,Species,Birds,96,40.909321,20.731096
2/18/2022,8:11:00,Anas crecca,Species,Birds,130,40.909321,20.731096
2/18/2022,8:11:00,Aythya ferina,Species,Birds,30,40.909321,20.731096
2/17/2022,13:07:00,Podiceps cristatus,Species,Birds,1,40.768784,20.926758
2/17/2022,13:03:00,Aythya fuligula,Species,Birds,12,40.768784,20.926758
2/17/2022,13:02:00,Chroicocephalus ridibundus,Species,Birds,1,40.768784,20.926758
2/17/2022,13:02:00,Podiceps nigricollis,Species,Birds,1,40.768784,20.926758
2/17/2022,13:02:00,Podiceps cristatus,Species,Birds,1,40.768784,20.926758
2/17/2022,13:02:00,Fulica atra,Species,Birds,3,40.768784,20.926758
2/17/2022,13:01:00,Podiceps cristatus,Species,Birds,1,40.768784,20.926758
2/17/2022,12:59:00,Podiceps nigricollis,Species,Birds,5,40.768784,20.926758
2/17/2022,12:39:00,Lanius excubitor,Species,Birds,1,40.776436,20.906553
2/17/2022,12:38:00,Anas crecca,Species,Birds,10,40.776436,20.906553
2/17/2022,12:37:00,Podiceps nigricollis,Species,Birds,4,40.776436,20.906553
2/17/2022,12:36:00,Anas crecca,Species,Birds,10,40.776436,20.906553
2/17/2022,12:34:00,Anas crecca,Species,Birds,20,40.776436,20.906553
2/17/2022,12:32:00,Anas platyrhynchos,Species,Birds,46,40.776436,20.906553
2/17/2022,12:30:00,Anas crecca,Species,Birds,24,40.776436,20.906553
2/17/2022,12:28:00,Chroicocephalus ridibundus,Species,Birds,10,40.776436,20.906553
2/17/2022,12:28:00,Fulica atra,Species,Birds,55,40.776436,20.906553
2/17/2022,12:25:00,Larus michahellis,Species,Birds,2,40.776436,20.906553
2/17/2022,12:24:00,Aythya fuligula,Species,Birds,13,40.776436,20.906553
2/17/2022,12:20:00,Aythya ferina,Species,Birds,1,40.776436,20.906553
2/17/2022,12:20:00,Aythya fuligula,Species,Birds,25,40.776436,20.906553
2/17/2022,12:19:00,Aythya fuligula,Species,Birds,70,40.776436,20.906553
2/17/2022,12:19:00,Larus michahellis,Species,Birds,1,40.776436,20.906553
2/17/2022,12:14:00,Chroicocephalus ridibundus,Species,Birds,40,40.776436,20.906553
2/17/2022,12:03:00,Podiceps cristatus,Species,Birds,1,40.790443,20.909836
2/17/2022,12:03:00,Aythya ferina,Species,Birds,8,40.790443,20.909836
2/17/2022,12:03:00,Podiceps nigricollis,Species,Birds,5,40.790443,20.909836
2/17/2022,12:02:00,Aythya fuligula,Species,Birds,20,40.790443,20.909836
2/17/2022,12:02:00,Fulica atra,Species,Birds,250,40.790443,20.909836
2/17/2022,12:02:00,Microcarbo pygmaeus,Species,Birds,5,40.790443,20.909836
2/17/2022,12:01:00,Ardea alba,Species,Birds,1,40.790443,20.909836
2/17/2022,12:01:00,Chroicocephalus ridibundus,Species,Birds,25,40.790443,20.909836
2/17/2022,11:46:00,Chroicocephalus ridibundus,Species,Birds,1,40.794426,20.918018
2/17/2022,11:45:00,Fulica atra,Species,Birds,10,40.794426,20.918018
2/17/2022,11:40:00,Aythya ferina,Species,Birds,5,40.794426,20.918018
2/17/2022,11:38:00,Chroicocephalus ridibundus,Species,Birds,3,40.794426,20.918018
2/17/2022,11:36:00,Fulica atra,Species,Birds,90,40.794426,20.918018
2/17/2022,11:34:00,Microcarbo pygmaeus,Species,Birds,10,40.794426,20.918018
2/17/2022,11:31:00,Chroicocephalus ridibundus,Species,Birds,2,40.794426,20.918018
2/17/2022,11:31:00,Fulica atra,Species,Birds,10,40.794426,20.918018
2/17/2022,11:31:00,Aythya fuligula,Species,Birds,15,40.794426,20.918018
2/17/2022,11:31:00,Ardea alba,Species,Birds,1,40.794426,20.918018
2/17/2022,11:31:00,Podiceps cristatus,Species,Birds,1,40.794426,20.918018
2/17/2022,11:31:00,Podiceps nigricollis,Species,Birds,18,40.794426,20.918018
2/17/2022,11:30:00,Podiceps nigricollis,Species,Birds,12,40.794426,20.918018
2/17/2022,11:28:00,Fulica atra,Species,Birds,20,40.794426,20.918018
2/17/2022,11:28:00,Microcarbo pygmaeus,Species,Birds,5,40.794426,20.918018
