kingdom,type,language,license,rightsHolder,datasetID,institutionCode,datasetName,basisOfRecord,occurrenceID,recordedBy,individualCount,occurrenceStatus,eventDate,samplingProtocol,countryCode,locality,decimalLatitude,decimalLongitude,minimumElevationInMeters,maximumElevationInMeters,verbatimElevation,locationRemarks,geodeticDatum,previousIdentifications,taxonRank,nomenclaturalCode
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Bulgarian Bat data,placeholder,Bulgarian Bat Society,Bat data of Bulgaria,HumanObservation,BUL:BAT:OBS:1,Boyan Petrov | Nia Toshkova | Vladimir Karadakov,7,present,2012-07-21,roost observation,BG,11th post Slivarovo,41.97197,27.66975,317,317,317,building,WGS84,Rhinolophus hipposideros,sp.,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Bulgarian Bat data,placeholder,Bulgarian Bat Society,Bat data of Bulgaria,HumanObservation,BUL:BAT:OBS:2,Boyan Petrov | Nia Toshkova | Vladimir Karadakov,4,present,2012-07-21,roost observation,BG,11th post Slivarovo,41.97197,27.66975,317,317,317,building,WGS84,Rhinolophus ferrumequinum,sp.,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Bulgarian Bat data,placeholder,Bulgarian Bat Society,Bat data of Bulgaria,HumanObservation,BUL:BAT:OBS:3,NA | NA | NA,2,present,2007-06-09,roost observation,BG,1st Border post above the village of. Gorni Yuruci,41.32806,25.90702,628,628,628,building,WGS84,Rhinolophus hipposideros,sp.,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Bulgarian Bat data,placeholder,Bulgarian Bat Society,Bat data of Bulgaria,HumanObservation,BUL:BAT:OBS:4,NA | NA | NA,1,present,2007-09-24,roost observation,BG,1st Border post above the village of. Gorni Yuruci,41.32806,25.90702,628,628,628,building,WGS84,Rhinolophus ferrumequinum,sp.,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Bulgarian Bat data,placeholder,Bulgarian Bat Society,Bat data of Bulgaria,HumanObservation,BUL:BAT:OBS:5,NA | NA | NA,2,present,2007-09-24,roost observation,BG,1st Border post above the village of. Gorni Yuruci,41.32806,25.90702,628,628,628,building,WGS84,Rhinolophus hipposideros,sp.,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Bulgarian Bat data,placeholder,Bulgarian Bat Society,Bat data of Bulgaria,HumanObservation,BUL:BAT:OBS:6,NA | NA | NA,1,present,1999-10-01,roost observation,BG,5 km SW above the Danube,43.80399,25.90481,15,15,15,river,WGS84,Pipistrellus nathusii,sp.,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Bulgarian Bat data,placeholder,Bulgarian Bat Society,Bat data of Bulgaria,HumanObservation,BUL:BAT:OBS:7,Rumyana Metcheva | Yordan Yankov | NA,1,present,2012-09-30,roost observation,BG,A shelter next to an inhabited roadside building,43.21011,23.09381,941,941,941,building,WGS84,Rhinolophus hipposideros,sp.,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Bulgarian Bat data,placeholder,Bulgarian Bat Society,Bat data of Bulgaria,HumanObservation,BUL:BAT:OBS:8,Boyan Petrov | Nia Toshkova | NA,6,present,2012-08-15,roost observation,BG,Abandon and agricultural buildings,42.97687,27.6886,34,34,34,building,WGS84,Rhinolophus hipposideros,sp.,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Bulgarian Bat data,placeholder,Bulgarian Bat Society,Bat data of Bulgaria,HumanObservation,BUL:BAT:OBS:9,Boyan Petrov | Nia Toshkova | NA,12,present,2012-08-15,roost observation,BG,Abandon military unit,42.99851,27.72046,15,15,15,building,WGS84,Rhinolophus hipposideros,sp.,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Bulgarian Bat data,placeholder,Bulgarian Bat Society,Bat data of Bulgaria,HumanObservation,BUL:BAT:OBS:10,Boyan Petrov | Nia Toshkova | Stoyan Goranov,400,present,2015-07-13,roost observation,BG,Abandon mushroom farms next to Backovo HPP,41.96959,24.8629,345,345,345,building,WGS84,Rhinolophus ferrumequinum,sp.,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Bulgarian Bat data,placeholder,Bulgarian Bat Society,Bat data of Bulgaria,HumanObservation,BUL:BAT:OBS:11,Boyan Petrov | Nia Toshkova | Stoyan Goranov,250,present,2015-07-13,roost observation,BG,Abandon mushroom farms next to Backovo HPP,41.96959,24.8629,345,345,345,building,WGS84,Rhinolophus euryale,sp.,ICZN
