ID,date (DD/MM/YYYY),eventDate,"latitude (decimal degrees, YY.YYYYY)","longitude (decimal degrees, XX.XXXXX)",alt (m),site type,site name,species,development,male,female,juv,counts,method,notes,data owner 1,data owner 2,data owner 3,refference
BG:BATDATA:1,2012-07-21T00:00:00Z,2012-07-21,41.97197,27.66975,317,building,11th post Slivarovo,Rhinolophus hipposideros,,,1,3,7,roost observation,,Boyan Petrov,Nia Toshkova,Vladimir Karadakov,
BG:BATDATA:2,2012-07-21T00:00:00Z,2012-07-21,41.97197,27.66975,317,building,11th post Slivarovo,Rhinolophus ferrumequinum,,,,,4,roost observation,,Boyan Petrov,Nia Toshkova,Vladimir Karadakov,
BG:BATDATA:3,2007-09-06T00:00:00Z,2007-09-06,41.32806,25.90702,628,building,1st Border post above the village of. Gorni Yuruci,Rhinolophus hipposideros,,1,,,2,roost observation,,,,,
BG:BATDATA:4,2007-09-24T00:00:00Z,2007-09-24,41.32806,25.90702,628,building,1st Border post above the village of. Gorni Yuruci,Rhinolophus ferrumequinum,,0,,,1,roost observation,,,,,
BG:BATDATA:5,2007-09-24T00:00:00Z,2007-09-24,41.32806,25.90702,628,building,1st Border post above the village of. Gorni Yuruci,Rhinolophus hipposideros,,1,,,2,roost observation,,,,,
BG:BATDATA:6,1999-01-10T00:00:00Z,1999-01-10,43.80399,25.90481,15,river,5 km SW above the Danube,Pipistrellus nathusii,,,,,1,roost observation,,,,,
BG:BATDATA:7,2012-09-30T00:00:00Z,2012-09-30,43.21011,23.09381,941,building,A shelter next to an inhabited roadside building,Rhinolophus hipposideros,,,,,1,roost observation,,Rumyana Metcheva,Yordan Yankov,,
BG:BATDATA:8,2012-08-15T00:00:00Z,2012-08-15,42.97687,27.6886,34,building,Abandon and agricultural buildings,Rhinolophus hipposideros,,,1,1,6,roost observation,,Boyan Petrov,Nia Toshkova,,
BG:BATDATA:9,2012-08-15T00:00:00Z,2012-08-15,42.99851,27.72046,15,building,Abandon military unit,Rhinolophus hipposideros,,,,,12,roost observation,,Boyan Petrov,Nia Toshkova,,
BG:BATDATA:10,2015-07-13T00:00:00Z,2015-07-13,41.96959,24.8629,345,building,Abandon mushroom farms next to Backovo HPP,Rhinolophus ferrumequinum,,,,,400,roost observation,,Boyan Petrov,Nia Toshkova,Stoyan Goranov,
BG:BATDATA:11,2015-07-13T00:00:00Z,2015-07-13,41.96959,24.8629,345,building,Abandon mushroom farms next to Backovo HPP,Rhinolophus euryale,,,,,250,roost observation,,Boyan Petrov,Nia Toshkova,Stoyan Goranov,
BG:BATDATA:12,2015-07-13T00:00:00Z,2015-07-13,41.96959,24.8629,345,building,Abandon mushroom farms next to Backovo HPP,Myotis emarginatus,,,,,100,roost observation,,Boyan Petrov,Nia Toshkova,Stoyan Goranov,
BG:BATDATA:13,2015-07-13T00:00:00Z,2015-07-13,41.96959,24.8629,345,building,Abandon mushroom farms next to Backovo HPP,Rhinolophus hipposideros,,,,,50,roost observation,,Boyan Petrov,Nia Toshkova,Stoyan Goranov,
BG:BATDATA:14,2015-06-14T00:00:00Z,2015-06-14,41.96959,24.8629,345,building,Abandon mushroom farms next to Backovo HPP,Rhinolophus ferrumequinum,,,,,650,roost observation,,Boyan Petrov,Nia Toshkova,Slaveya Stoycheva,
BG:BATDATA:15,2015-06-14T00:00:00Z,2015-06-14,41.96959,24.8629,345,building,Abandon mushroom farms next to Backovo HPP,Rhinolophus euryale,,,,,250,roost observation,,Boyan Petrov,Nia Toshkova,Slaveya Stoycheva,
BG:BATDATA:16,2015-06-14T00:00:00Z,2015-06-14,41.96959,24.8629,345,building,Abandon mushroom farms next to Backovo HPP,Rhinolophus hipposideros,,,,,20,roost observation,,Boyan Petrov,Nia Toshkova,Slaveya Stoycheva,
BG:BATDATA:17,2015-06-14T00:00:00Z,2015-06-14,41.96959,24.8629,345,building,Abandon mushroom farms next to Backovo HPP,Myotis emarginatus,,,,,110,roost observation,,Boyan Petrov,Nia Toshkova,Slaveya Stoycheva,
BG:BATDATA:18,2012-02-10T00:00:00Z,2012-02-10,43.3301,22.99896,320,building,Abandonand buildings Elovica,Rhinolophus hipposideros,,,,,3,roost observation,,Rumyana Metcheva,Yordan Yankov,,
BG:BATDATA:19,2012-07-08T00:00:00Z,2012-07-08,41.41414,23.55958,711,building,Abandonand buildings of marble quarry w/r. Izvora,Myotis aurascens,,1,,,2,capturing,,Boyan Petrov,Nia Toshkova,,
BG:BATDATA:20,2006-10-07T00:00:00Z,2006-10-07,43.0973,23.60959,260,building,Abandonand buildings of the Sofia Seminary,Rhinolophus hipposideros,,0,,,2,roost observation,,,,,
BG:BATDATA:21,2012-02-10T00:00:00Z,2012-02-10,43.32035,22.99473,338,building,Abandonand buildings on the spur to Glavanovtsi,Rhinolophus hipposideros,,,,,50,roost observation,,Rumyana Metcheva,Yordan Yankov,,
BG:BATDATA:22,2012-06-14T00:00:00Z,2012-06-14,41.7273,25.22491,344,building,Abandonand buildings to the lake. Kardzhali,Myotis bechsteinii,,,7,1,8,capturing,,Slaveya Stoicheva,Stanimira Deleva,Anelia Pavlova,
BG:BATDATA:23,2012-10-17T00:00:00Z,2012-10-17,44.096237,27.063836,56,building,Abandonand kindergarten and school,Rhinolophus hipposideros,,,,,1,roost observation,,Krasimir Kirov,,,
BG:BATDATA:24,2012-10-17T00:00:00Z,2012-10-17,44.096237,27.063836,56,building,Abandonand kindergarten and school,Rhinolophus ferrumequinum,,,,,1,roost observation,,Krasimir Kirov,,,
