kingdom,type,language,license,rightsHolder,datasetID,institutionCode,datasetName,basisOfRecord,occurrenceID,associatedReferences,recordedBy,individualCount,occurrenceStatus,eventDate,countryCode,locality,municipality,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,taxonRank,nomenclaturalCode
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Bulgarian Society for the Protection of Birds,placeholder,Bulgarian Society for the Protection of Birds,Small mammals of Bulgaria,humanObservation,NEDKO:SMoBG:OBS:1482308,"Източник: Христович, 1901",Nedko Nedyalkov | BSPB NA,1,present,1900-05-02T00:00:00Z,BG,"Lyaskovets, Veliko Tarnovo, Bulgaria",Лясковец,43.107529,25.733394,WGS84,Mesocricetus newtoni,sp.,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Bulgarian Society for the Protection of Birds,placeholder,Bulgarian Society for the Protection of Birds,Small mammals of Bulgaria,humanObservation,NEDKO:SMoBG:OBS:1482387,"Източник: Христович, 1901",Nedko Nedyalkov | BSPB NA,1,present,1901-01-01T00:00:00Z,BG,"Lyaskovets, Veliko Tarnovo, Bulgaria",Лякосвец,43.107529,25.733394,WGS84,Cricetus cricetus,sp.,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Bulgarian Society for the Protection of Birds,placeholder,Bulgarian Society for the Protection of Birds,Small mammals of Bulgaria,humanObservation,NEDKO:SMoBG:OBS:916201,"Находище: Варна. Датата е приблизителна: 1901. Източник: Miller, 1912",Nedko Nedyalkov | BSPB NA,1,present,1901-12-31T00:00:00Z,BG,"Varna, Varna, Bulgaria",Варна,43.2279,27.943607,WGS84,Felis silvestris,sp.,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Bulgarian Society for the Protection of Birds,placeholder,Bulgarian Society for the Protection of Birds,Small mammals of Bulgaria,humanObservation,NEDKO:SMoBG:OBS:919850,"Находище: София. Датата е приблизителна: 1901. Източник: Miller, 1912",Nedko Nedyalkov | BSPB NA,1,present,1901-12-31T00:00:00Z,BG,"Sofia, Sofia(stolitsa), Bulgaria",София,42.682576,23.33764,WGS84,Crocidura suaveolens,sp.,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Bulgarian Society for the Protection of Birds,placeholder,Bulgarian Society for the Protection of Birds,Small mammals of Bulgaria,materialSample,NEDKO:SMoBG:OBS:919849,"Находище: София. Датата е приблизителна: 1901. Източник: Miller, 1912",Nedko Nedyalkov | BSPB NA,1,present,1901-12-31T00:00:00Z,BG,"Sofia, Sofia(stolitsa), Bulgaria",София,42.682576,23.33764,WGS84,Talpa europaea,sp.,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Bulgarian Society for the Protection of Birds,placeholder,Bulgarian Society for the Protection of Birds,Small mammals of Bulgaria,humanObservation,NEDKO:SMoBG:OBS:916202,"Находище: Варна. Датата е приблизителна: 1901. Източник: Miller, 1912",Nedko Nedyalkov | BSPB NA,1,present,1901-12-31T00:00:00Z,BG,"Varna, Varna, Bulgaria",Варна,43.2279,27.943607,WGS84,Crocidura suaveolens,sp.,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Bulgarian Society for the Protection of Birds,placeholder,Bulgarian Society for the Protection of Birds,Small mammals of Bulgaria,humanObservation,NEDKO:SMoBG:OBS:919816,"Находище: Сеславци. Източник: Симеонов, Боев, 1988","Nedko Nedyalkov | BSPB Симеонов, Боев",1,present,1904-10-23T00:00:00Z,BG,"Buhovo, Sofia(stolitsa), Bulgaria",София,42.7903,23.517483,WGS84,Arvicola terrestris,sp.,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Bulgarian Society for the Protection of Birds,placeholder,Bulgarian Society for the Protection of Birds,Small mammals of Bulgaria,humanObservation,NEDKO:SMoBG:OBS:919818,"Находище: Сеславци. Източник: Симеонов, Боев, 1988","Nedko Nedyalkov | BSPB Симеонов, Боев",1,present,1904-10-23T00:00:00Z,BG,"Buhovo, Sofia(stolitsa), Bulgaria",София,42.7903,23.517483,WGS84,Nannospalax leucodon,sp.,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Bulgarian Society for the Protection of Birds,placeholder,Bulgarian Society for the Protection of Birds,Small mammals of Bulgaria,humanObservation,NEDKO:SMoBG:OBS:919815,"Находище: Сеславци. Източник: Симеонов, Боев, 1988","Nedko Nedyalkov | BSPB Симеонов, Боев",1,present,1904-10-23T00:00:00Z,BG,"Buhovo, Sofia(stolitsa), Bulgaria",София,42.7903,23.517483,WGS84,Rattus norvegicus,sp.,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Bulgarian Society for the Protection of Birds,placeholder,Bulgarian Society for the Protection of Birds,Small mammals of Bulgaria,humanObservation,NEDKO:SMoBG:OBS:919814,"Находище: Сеславци. Източник: Симеонов, Боев, 1988","Nedko Nedyalkov | BSPB Симеонов, Боев",1,present,1904-10-23T00:00:00Z,BG,"Buhovo, Sofia(stolitsa), Bulgaria",София,42.7903,23.517483,WGS84,Erinaceus roumanicus,sp.,ICZN
Animalia,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Bulgarian Society for the Protection of Birds,placeholder,Bulgarian Society for the Protection of Birds,Small mammals of Bulgaria,humanObservation,NEDKO:SMoBG:OBS:919817,"Находище: Сеславци. Източник: Симеонов, Боев, 1988","Nedko Nedyalkov | BSPB Симеонов, Боев",1,present,1904-10-23T00:00:00Z,BG,"Buhovo, Sofia(stolitsa), Bulgaria",София,42.7903,23.517483,WGS84,Mustela nivalis,sp.,ICZN
